H2;Dihydrogen;     0;     0
He;Helium;     0;     0
C;Carbon;     0;     0
N2;Dinitrogen;     0;     0
O2;Dioxygen;     0;     0
F2;Difluorine;     0;     0
Ne;Neon;     0;     0
Si;Silicon;     0;     0
S;Sulfur;     0;     0
Cl2;Dichlorine;     0;     0
Ar;Argon;     0;     0
Br2;Dibromine;     0;     0
Kr;Krypton;     0;     0
I2;Diiodine;     0;     0
Xe;Xenon;     0;     0
Pt;Platinum;     0;     0
Rn;Radon;     0;     0
D2;Deuterium molecule;     0;     0
H;Hydrogen atom;216.034;217.998
O;Oxygen atom;246.844;249.229
CH4;Methane;-66.54;-74.51
H2O;Water;-286.273;-285.801
N;Nitrogen atom;470.582;472.445
CO2;Carbon dioxide;-393.111;-393.477
H+;Hydron;1528.08;1530.05
CH3CH3;Ethane;-68.39;-84.01
Cl;Chlorine atom;119.621;121.302
F;Fluorine atom;77.254; 79.36
CH2CH2;Ethylene; 60.91;  52.4
CH3CH2CH3;Propane;-82.71;-104.99
CH3;Methyl;149.883;146.482
CH3OH;Methanol;-189.96;-200.84
NH3;Ammonia;-38.563;-45.556
Br;Bromine atom;117.925;111.863
OH;Hydroxyl;37.278;37.517
CH2O;Formaldehyde;-105.38;-109.22
HCCH;Acetylene;228.89;228.34
CH3CH2OH;Ethanol;-217.17;-234.89
CO;Carbon monoxide;-113.799;-110.518
HCl;Hydrogen chloride;-91.988;-92.172
C6H6;Benzene; 100.7; 83.19
I;Iodine;107.157;106.757
CH3CHCH2;Propene; 34.92; 20.08
HF;Hydrogen fluoride;-272.679;-272.726
CH3CH2;Ethyl;131.52;120.77
HCN;Hydrogen cyanide;129.688;129.303
HBr;Hydrogen bromide;-27.51;-35.36
NO;Nitric oxide;90.622;91.126
CH3NH2;Methylamine; -6.45;-21.16
CH3CHO;Acetaldehyde;-154.86;-165.39
CH3CCH;Propyne;192.73;185.58
CH3Cl;Chloromethane;-74.65;-82.58
CH3C(O)CH3;Acetone;-199.92;-216.87
HOO;Dioxidanyl; 15.07; 12.16
HI;Hydrogen iodide;28.646;26.471
[OH]-;Hydroxyde;-139.064;-139.03
CH2CCH2;Allene; 197.5;190.04
ONO;Nitrogen dioxide;36.861;34.054
CH2CH;Vinyl;301.26;297.22
CH2;Methylene;391.076;391.622
HOOH;Hydrogen peroxide;-129.418;-135.404
CH3F;Fluoromethane;-227.44;-235.47
CH3CH2CH2CH3;n-Butane;-98.22;-125.53
C6H5CH3;Toluene; 73.37; 50.08
SiH4;Silane; 42.66; 33.04
OOO;Ozone;144.407;141.744
CH2CHCHCH2;1,3-Butadiene;125.64;111.17
CH3C(O)OH;Acetic acid;-418.43;-432.59
F-;Fluoride;-250.911;-249.126
NH4OH;Ammonium hydroxide;   nan;-366.37
CH2CO;Ketene;-45.33;-48.39
CN;Nitrilomethyl;436.73;440.02
CH3Br;Bromomethane;-20.45;-35.85
CH3O;Methoxy; 28.98; 21.61
HC(O)OH;Formic acid;-370.98;-378.3
CH3CH2NH2;Ethylamine;-28.02;-49.79
C6H5;Phenyl;352.64;339.28
CH3CN;Acetonitrile; 81.15; 74.08
CH2OH;Hydroxymethyl; -10.1;-16.41
OSO;Sulfur dioxide;-294.2;-296.74
[CH3O]-;Methoxide;-122.41;-130.13
CH2CCH;Propargyl;354.11;351.52
CH(CH3)3;iso-Butane;-105.87;-134.47
HOCl;Hypochlorous acid;-73.84;-76.78
CCH;Ethynyl;563.76;567.87
NH2;Amidogen;188.92;186.03
CF4;Tetrafluoromethane;-927.63;-933.6
HCO;Formyl; 41.39;41.764
CH(O)NH2;Formamide;-178.64;  -189
CH3CH2CH2;n-Propyl;118.47;101.07
CH2(CH2CH2);Cyclopropane; 71.07; 53.95
CH2(CHCHCHCH);Cyclopentadiene; 151.9;134.78
CH3CHCH3;iso-Propyl;105.68; 88.81
CH2CHOH;Ethenol;-113.27;-124.4
CH2CHCH2;Allyl;179.92; 168.2
CH3CO;Acetyl;  -3.6;-10.17
CH3CH2Cl;Chloroethane;-96.94;-111.53
Cl-;Chloride;-228.953;-227.346
CH3OCH3;Methoxymethane;-166.39;-183.89
CH2OO;Dioxymethyl;112.11;105.11
CH2NH;Methanimine; 96.39; 88.48
[CH3CH2]+;Ethylium;915.19;903.11
CHF3;Fluoroform;-689.28;-696.23
[HCO]+;Oxomethylium;827.766;827.182
CF3;Trifluoromethyl;-465.14;-467.94
CH;Methylidyne;592.977;596.311
CH3OOH;Methyl hydroperoxide;-114.82;-127.64
C6H5OH;Phenol;-74.34;-92.93
CCl4;Tetrachloromethane;-89.28;-91.45
C6H5C(O)H;Benzaldehyde;-19.16;-36.95
Br-;Bromide;-206.612;-212.674
HOBr;Hypobromous acid;-51.27;-61.74
CH3I;Iodomethane; 24.53; 14.99
CH3OO;Methylperoxy; 22.56; 13.11
[H3O]+;Oxonium;605.89;599.14
HCCCN;Cyanoacetylene;372.26;   374
ClO;Chlorooxidanyl;101.124;101.716
I-;Iodide;-187.996;-188.396
HON(O)O;Nitric acid;-124.42;-134.13
HOCO;Hydroxyformyl;-181.14;-184.1
CH2CHCl;Vinyl chloride; 29.41; 21.82
NH2CH2C(O)OH;Glycine;-377.67;-396.14
[NH4]+;Ammonium;643.01; 631.7
NH;Imidogen;358.75; 358.8
CH3CHOH;1-Hydroxyethyl; -42.7;-56.13
(CH3)2NH;Dimethylamine;  4.66;-16.98
CH2CHCCH;Vinylacetylene;296.48;289.72
OS(O)O;Sulfur trioxide;-389.75;-395.5
O(CH2CH2);Oxirane;-39.72;-52.27
[CH3CH2O]-;Ethoxide;-163.74;-178.68
O-;Oxygen atom anion;105.868;108.096
HCCCCH;1,3-Butadiyne; 458.4;460.13
[CH3]+;Methylium;1099.36;1095.41
HNCO;Isocyanic acid;-115.93;-118.93
NH2CN;Cyanamide;141.62; 135.6
CF2O;Difluorophosgene;-603.34;-606.44
HOF;Hypofluorous acid;-84.38;-87.28
CH2C(CH3)2;Isobutene;  4.31;-16.75
CH2CH2OH;2-Hydroxyethyl;-12.87;-26.13
CH3NCH2;N-Methylenemethanamine; 94.61; 79.69
CH2Cl2;Dichloromethane;-86.84; -93.7
C6H5Cl;Chlorobenzene; 67.28; 52.32
CH3N(O)O;Nitromethane;-60.58;-74.48
CH3NH;Methylamidogen;187.99;177.34
CH3NC;Isocyanomethane;183.81;177.26
CH3CHCCH2;1,2-Butadiene;176.06;162.56
C6H5CH2;Benzyl;230.16;211.35
CH(CHCHCHCH);Cyclopentadienyl;275.62;262.51
CH3CH2OOH;Ethyl hydroperoxide;-142.47;-160.89
[CCH]-;Ethynide;277.32;280.73
SiH(CH3)3;Trimethylsilane;-125.8;-151.9
H2S;Hydrogen sulfide;-17.36;-20.29
H-;Hydride;143.264;145.228
ClCN;Cyanogen chloride;135.14;135.84
[C6H5]-;Phenide;244.27;230.84
CH2(CHCH);Cyclopropene; 292.6;283.87
[HC(O)O]-;Formate;-463.1;-466.74
HC(O)OCH3;Methyl formate;-346.82;-359.87
[H3]+;Trihydrogen cation;1110.3;1106.7
CF;Fluoromethylidyne;243.17;246.78
CH2CHCHO;Acrolein;-55.11;-65.51
OS(O)(OH)2;Sulfuric acid;   nan;-887.52
SiF4;Tetrafluorosilane;-1608.76;-1614.27
O+;Oxygen atom cation;1560.79;1562.64
HONO;Nitrous acid;-72.988;-79.132
[CH2OH]+;Hydroxymethylium;717.75;709.81
[CN]-;Cyanide;63.983;67.269
CH3CCCH3;2-Butyne;159.59;146.62
HCCCH;Propynylidene;543.73;546.73
CH2F2;Difluoromethane;-443.32;-450.93
CH2CHBr;Vinyl bromide; 88.84; 74.03
SiH3;Silyl;204.71;199.23
S(O)(OH)2;Sulfurous acid;   nan;-617.29
FOF;Oxygen difluoride;  26.8; 24.55
[ClO]-;Hypochlorite;-118.6;-118.33
HOI;Hypoiodous acid; -53.6; -58.3
HNO;Nitrosyl hydride;109.93;106.96
CH2CCCH2;Butatriene;328.44;322.18
CH3CH2O;Ethoxy;  1.39;-12.51
CH2CHO;Vinoxy; 22.92; 16.12
CH3CH2OO;Ethylperoxy; -6.09;-22.11
CH3C(OH)CH2;Acetone enol;-151.24;-168.53
CCl2O;Phosgene;-217.49;-219.18
CH3C(O)CH2OH;1-Hydroxy-2-propanone;-354.4;-373.79
HNCN;Cyanoamidogen;322.73;320.24
CHCl3;Chloroform;-94.51;-99.42
CF2CF2;Tetrafluoroethylene;-670.66;-674.06
C6H5CO;Benzoyl;138.85;125.32
CH3ONO;Methyl nitrite;-54.33;-66.11
CH2CHCN;Acrylonitrile;194.02;187.26
SiH3OH;Silanol;  -271;-282.7
C6H4(C4H4);Naphthalene;171.17;147.69
CCC;1,2-Propadiene-1,3-diylidene; 814.4;823.36
[CH2CH]-;Vinyl anion;   237;232.58
BrCN;Cyanogen bromide; 186.8; 180.2
CH3CH2CH2CH2;n-Butyl; 103.1;  80.6
C(CH3)4;neo-Pentane;-134.25;-167.12
CH3CHCHCH3;trans-2-Butene;  9.69;-10.88
CH2CHCH2CH3;1-Butene; 21.24;  0.29
CH3CH2CH2CH2CH2CH3;n-Hexane;-129.89;-166.76
CH2CHOOH;Vinyl hydroperoxide;-26.04;-38.32
CH3CH2CHO;Propionaldehyde;-171.09;-186.5
CH3C(O)OCH3;Methyl acetate;-394.13;  -413
CH3C(O)CH2;Acetonyl;-18.39;-31.99
NH(CH2CH2);Aziridine;143.58;127.05
CBr4;Tetrabromomethane; 144.8; 115.1
CH3CH2Br;Ethyl bromide;-40.97;-62.92
CH2CCO;Propadienone;132.23;130.59
ClF;Chlorine fluoride;-55.622;-55.717
[NNH]+;Diazynium;1042.57;1038.96
[ONO]-;Nitrite;-182.63;-185.44
