H2;DIHYDROGEN;     0;     0
He;HELIUM HELIUM HE R704;     0;     0
C;CARBON;     0;     0
N2;DINITROGEN;     0;     0
O2;DIOXYGEN;     0;     0
F2;DIFLUORINE;     0;     0
Ne;NEON NEON R720;     0;     0
Si;SILICON;     0;     0
S;SULFUR;     0;     0
Cl2;DICHLORINE;     0;     0
Ar;ARGON ARGON R740 AR;     0;     0
Br2;DIBROMINE;     0;     0
Kr;KRYPTON KRYPTON;     0;     0
I2;DIIODINE;     0;     0
Xe;XE XENON XENON;     0;     0
Pt;PLATINUM;     0;     0
Rn;RADON;     0;     0
D2;DEUTERIUM MOLECULE;     0;     0
H;HYDROGEN ATOM;216.034;217.998
O;OXYGEN ATOM;246.844;249.229
CH4;CH4 METHANE METHANE R50 N-C1H4;-66.54;-74.51
H2O;WATER WATER H2O H2O R718;-286.273;-285.801
N;NITROGEN ATOM;470.582;472.445
CO2;CARBON DIOXIDE;-393.111;-393.477
H+;HYDRON;1528.08;1530.05
CH3CH3;ETHANE ETHANE R170 N-C2H6;-68.39;-84.01
Cl;CHLORINE ATOM;119.621;121.302
F;FLUORINE ATOM;77.254; 79.36
CH2CH2;ETHYLENE ETHYLENE R1150; 60.91;  52.4
CH3CH2CH3;PROPANE PROPANE R290 C3H8 PROPANE N-PROPANE NC3H8 N-C3H8;-82.71;-104.99
CH3;METHYL;149.883;146.482
CH3OH;METHANOL METHANOL;-189.96;-200.84
NH3;NH3 AMMONIA R717 AMMONIA;-38.563;-45.556
Br;BROMINE ATOM;117.925;111.863
OH;HYDROXYL;37.278;37.517
CH2O;FORMALDEHYDE;-105.38;-109.22
HCCH;ACETYLENE;228.89;228.34
CH3CH2OH;C2H6O ETHANOL ETHANOL;-217.17;-234.89
CO;CARBON MONOXIDE;-113.799;-110.518
HCl;HYDROGEN CHLORIDE;-91.988;-92.172
C6H6;BENZENE BENZENE; 100.7; 83.19
I;IODINE;107.157;106.757
CH3CHCH2;PROPENE; 34.92; 20.08
HF;HYDROGEN FLUORIDE;-272.679;-272.726
CH3CH2;ETHYL;131.52;120.77
HCN;HYDROGEN CYANIDE;129.688;129.303
HBr;HYDROGEN BROMIDE;-27.51;-35.36
NO;NITRIC OXIDE;90.622;91.126
CH3NH2;METHYLAMINE; -6.45;-21.16
CH3CHO;ACETALDEHYDE;-154.86;-165.39
CH3CCH;PROPYNE PROPYNE;192.73;185.58
CH3Cl;CHLOROMETHANE;-74.65;-82.58
CH3C(O)CH3;ACETONE ACETONE;-199.92;-216.87
HOO;DIOXIDANYL; 15.07; 12.16
HI;HYDROGEN IODIDE;28.646;26.471
[OH]-;HYDROXYDE;-139.064;-139.03
